Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
424,A4a4a4a4,"Animación, Humor",48800000.0,Rusia,9400000.0,274500.0,20000.0,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA
43,ARYDigitalasia,,48800000.0,Pakistán,32000.0,1100.0,5.0,http://youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q
44,getmovies,"Películas, Humor",48800000.0,Unknown,139700.0,442.0,0.0,http://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA
45,sonymusicindiaVEVO,Música y baile,48300000.0,India,17700.0,284.0,15.0,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ
46,toysandcolors,"Películas, Juguetes",47900000.0,Unknown,3300000.0,2500.0,0.0,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A
47,HarPalGeoOfficial,"Películas, Animación",47900000.0,Pakistán,10200.0,71.0,2.0,http://youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
48,BadBunnyPR,"Música y baile, Películas",47300000.0,México,10100000.0,304700.0,16000.0,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
49,badabunOficial,,47100000.0,México,6200.0,263.0,4.0,http://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ
50,vootkids,,46500000.0,Unknown,149700.0,1100.0,0.0,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow
51,abscbnentertainment,,45900000.0,Filipinas,4200.0,77.0,1.0,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw
52385,felipeneto,,45900000.0,Brasil,917900.0,94000.0,1600.0,http://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg
53262,Mikecrack,"Películas, Animación",45400000.0,México,1500000.0,64200.0,3600.0,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
54,MashaBearRUSSIAN,,45300000.0,Unknown,765300.0,7000.0,0.0,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q
55,MashaBearEN,"Películas, Animación",45100000.0,Unknown,736000.0,7700.0,0.0,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw
56132,vcsabiavideos,,45100000.0,Brasil,782600.0,49300.0,717.0,http://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ
57,Alanwalkermusic,"Música y baile, Películas",44700000.0,Estados Unidos,102700.0,8500.0,389.0,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
58,KatyPerry,Música y baile,44600000.0,Unknown,234000.0,11600.0,865.0,http://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
59,BRIGHTSIDEOFFICIAL,,44500000.0,Estados Unidos,20000.0,458.0,20.0,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
60,whindersson,"Música y baile, Animación",44500000.0,Brasil,94700.0,12600.0,81.0,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw
6112,KimberlyLoaiza,Música y baile,43100000.0,México,9000000.0,709200.0,63500.0,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
62,IshtarMusic,Música y baile,43100000.0,India,27200.0,939.0,11.0,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ
63,speedrecords,Música y baile,43000000.0,India,36900.0,1100.0,47.0,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew
64485,JessNoLimit,"Películas, Animación",42700000.0,Indonesia,297100.0,12200.0,128.0,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA
65,LikeNastya_Show,"Películas, Juguetes",42700000.0,Unknown,117500.0,490.0,0.0,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg
6661,luisitocomunica,,41400000.0,México,2800000.0,77000.0,1500.0,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA
67,shfa2,"Animación, Juguetes",41300000.0,Unknown,733000.0,6100.0,0.0,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
6835,beterbocuk,,41000000.0,India,742700.0,40500.0,251.0,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
69,luccastoon,"Películas, Animación",41000000.0,Brasil,281000.0,6500.0,0.0,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
70,LittleBabyBum,"Animación, Juguetes",40900000.0,Unknown,65099.99999999999,127.0,0.0,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
71,CarryMinati,"Películas, Humor",40800000.0,India,4200000.0,476800.0,6600.0,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg
72,SuperSimpleSongs,Música y baile,40500000.0,Unknown,659800.0,1500.0,0.0,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q
73,SonyPAL,,40400000.0,India,19800.0,268.0,11.0,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg
741283,RicisOfficial1795,"Música y baile, Películas",40300000.0,Indonesia,198300.0,13100.0,344.0,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
75,GaaneSuneAnsune,Música y baile,40000000.0,India,34600.0,207.0,9.0,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w
76,WorkpointOfficial,,39800000.0,Tailandia,7900.0,217.0,1.0,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
77,TEDx,,39800000.0,Estados Unidos,161.0,3.0,0.0,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
78,gr6explode,Música y baile,39600000.0,Brasil,159900.0,7100.0,534.0,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
79,shfa-1,Vlogs diarios,39600000.0,Francia,6600000.0,50000.0,0.0,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
80,vladvaniki1,"Películas, Humor",39400000.0,Unknown,534300.0,1700.0,0.0,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg
81594,YOLOAVENTURAS,"Películas, Animación",39200000.0,México,3200000.0,173000.0,993.0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
82,ABPNEWS,,39100000.0,India,3600.0,77.0,1.0,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA
83,LikeNastya_ESP,,38900000.0,Unknown,553700.0,1200.0,0.0,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ
84,one31official,,38800000.0,Tailandia,5300.0,133.0,1.0,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
85,DaddyYankee,Música y baile,38400000.0,Colombia,40200.0,4400.0,209.0,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
86,MariaClaraeJP,"Películas, Animación",38400000.0,Unknown,1700000.0,9900.0,0.0,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA
87,YouTube,,38400000.0,Estados Unidos,64400.00000000001,2000.0,175.0,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ
88,TheEllenShow,,38200000.0,Estados Unidos,6300.0,155.0,9.0,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
89,SaregamaMusic,Películas,38200000.0,India,18000.0,453.0,15.0,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q
90,PowerKidstv,"Películas, Animación",38000000.0,India,54500.0,0.0,0.0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw
91,UltraBollywood,,37800000.0,India,15900.0,110.0,6.0,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA
92424,zamzamelectronicstradingllc,,37600000.0,India,218600.0,14900.0,326.0,http://youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA
93,tseriesoldisgold,Música y baile,37600000.0,India,58700.0,569.0,21.0,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w
94,IndiaTV,Noticias y Política,37500000.0,India,8400.0,177.0,2.0,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ
95,LaGranjaDeZenon,"Música y baile, Animación",37500000.0,Unknown,502200.0,1800.0,0.0,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew
96107,Jkk_Entertainment,,37400000.0,India,678600.0,5000.0,130.0,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA
971069,thedonato,,37400000.0,México,475000.0,32299.999999999996,312.0,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ
984,TechnoGamerzOfficial,,37000000.0,India,4700000.0,277700.0,17000.0,http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg
99107,TotalGaming093,"Películas, Videojuegos",36900000.0,India,1100000.0,95200.0,1000.0,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
100,Maroon5,,36800000.0,Estados Unidos,0.0,0.0,0.0,http://youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw
1012,fedevigevani,"Animación, Humor",36800000.0,México,6200000.0,347700.0,15000.0,http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
102,GenevievesPlayhouse,Juguetes,36600000.0,Unknown,655000.0,585.0,0.0,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w
103,Ozuna,Música y baile,36400000.0,Estados Unidos,1300000.0,10600.0,414.0,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
104,starplus,,36300000.0,India,22600.0,447.0,7.0,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ
105,RyansWorld,"Videojuegos, Juguetes",36000000.0,Unknown,286200.0,1300.0,0.0,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w
10625,markiplier,"Animación, Videojuegos",36000000.0,Estados Unidos,2300000.0,123200.0,6200.0,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
